Species,Treatment,Core,Timepoint,Sym.Host.old,Sym.Host,logSH,Y2,PropD.old,PropD,Batch,DHW,Recov.Days,Date,InitialDom,PropDAv,Colony
O.faveolata,Control,1-13-a,Post-bleach,0.445409055,0.010567317,-1.976035276,NA,0.993545058,0.783555403,1,NaN,NaN,07/06/2019,NA,NA,13
O.faveolata,Control,1-13-a,Pre-bleach,0.50362106,0.011869641,-1.925562428,NA,0.993746359,0.788914041,1,NaN,NaN,22/05/2019,NA,NA,13
O.faveolata,Control,1-13-a,Pre-outplant,0.63182603,0.012243249,-1.912103303,NA,0.99914143,0.964751827,1,NaN,NaN,14/08/2019,NA,NA,13
O.faveolata,Bleached,1-13-c,Post-bleach,0.21013088,0.003931676,-2.405422296,0.134,1,1,2,13.29,NaN,19/12/2019,B,0.303637583,13
O.faveolata,Bleached,1-13-c,Pre-bleach,0.396197595,0.041232283,-1.384762618,0.566,0.890117727,0.160033067,2,0,NaN,17/11/2019,B,0.015152066,13
O.faveolata,Bleached,1-13-c,Pre-outplant,0.828951783,0.015510189,-1.809382905,0.353,1,1,2,NaN,78,05/03/2020,B,0.758547582,13
O.faveolata,Bleached,1-13-c,Recovery,1.322584678,0.024746359,-1.606488688,0.269,1,1,2,NaN,31,19/01/2020,B,0.753003749,13
O.faveolata,Control,1-13-d,Post-bleach,0.141981871,0.022297207,-1.651749538,NA,0.821926596,0.097927189,2,NaN,NaN,06/12/2019,NA,NA,13
O.faveolata,Control,1-13-d,Pre-bleach,0.076608978,0.01822619,-1.739304097,NA,0.717824369,0.056453359,2,NaN,NaN,17/11/2019,NA,NA,13
O.faveolata,Control,1-13-d,Pre-outplant,0.426365094,0.154326647,-0.811559079,NA,0.558139964,0.028851717,2,NaN,NaN,05/03/2020,NA,NA,13
O.faveolata,Bleached,1-21-a,Post-bleach,0.015036192,0.001337454,-2.873721301,0.206,0.909582895,0.191332734,1,5.36,NaN,07/06/2019,B,0.303637583,21
O.faveolata,Bleached,1-21-a,Pre-bleach,0.316276044,0.197892105,-0.703571531,0.522,0.218636156,0.006538041,1,0,NaN,22/05/2019,B,0.015152066,21
O.faveolata,Bleached,1-21-a,Pre-outplant,0.968045715,0.020603799,-1.686052706,0.41,0.99668741,0.876184104,1,NaN,66,14/08/2019,B,0.758547582,21
O.faveolata,Bleached,1-21-a,Recovery,3.18E-04,5.95E-06,-5.225621811,0.509,1,1,1,NaN,31,10/07/2019,B,0.753003749,21
O.faveolata,Bleached,1-21-b,Post-bleach,0.017495687,0.001599506,-2.796014128,0.192,0.90639824,0.185503457,1,5.36,NaN,07/06/2019,B,0.303637583,21
O.faveolata,Bleached,1-21-b,Pre-bleach,0.36058438,0.282124857,-0.549558648,0.52,0.016897473,0.000404087,1,0,NaN,22/05/2019,B,0.015152066,21
O.faveolata,Bleached,1-21-b,Pre-outplant,0.640305977,0.0140357,-1.852765935,0.362,0.995868191,0.850047466,1,NaN,66,14/08/2019,B,0.758547582,21
O.faveolata,Bleached,1-21-b,Recovery,0.00148931,2.79E-05,-4.55492698,0.49,1,1,1,NaN,31,10/07/2019,B,0.753003749,21
O.faveolata,Control,1-21-d,Post-bleach,0.056878677,0.032684335,-1.485660348,NA,0.284367474,0.009259288,2,NaN,NaN,06/12/2019,NA,NA,21
O.faveolata,Control,1-21-d,Pre-bleach,0.059762357,0.036766704,-1.434545299,NA,0.232125873,0.00705967,2,NaN,NaN,17/11/2019,NA,NA,21
O.faveolata,Control,1-21-d,Pre-outplant,0.373774312,0.272806948,-0.564144574,NA,0.084530791,0.002166989,2,NaN,NaN,05/03/2020,NA,NA,21
O.faveolata,Bleached,1-34-a,Post-bleach,8.26E-04,0.000657064,-3.182392004,0.22,0,0,1,7.5,NaN,13/06/2019,B,0.303637583,34
O.faveolata,Bleached,1-34-a,Pre-bleach,0.105827736,0.081211204,-1.090384049,0.514,0.035379817,0,1,0,NaN,22/05/2019,B,0.015152066,34
O.faveolata,Bleached,1-34-a,Pre-outplant,0.571554964,0.017141774,-1.765944237,0.426,0.985478257,0.614804602,1,NaN,62,14/08/2019,B,0.758547582,34
O.faveolata,Bleached,1-34-a,Recovery,4.18E-04,7.81E-06,-5.107166507,0.526,1,1,1,NaN,31,14/07/2019,B,0.753003749,34
O.faveolata,Bleached,1-34-b,Post-bleach,0.005938534,0.004724321,-2.325660636,0.265,0,0,1,6.07,NaN,09/06/2019,B,0.303637583,34
O.faveolata,Bleached,1-34-b,Pre-bleach,0.069411696,0.055219537,-1.257907241,0.532,0,0,1,0,NaN,22/05/2019,B,0.015152066,34
O.faveolata,Bleached,1-34-b,Pre-outplant,0.216763269,0.080682194,-1.093222298,0.49,0.544939465,0.027393282,1,NaN,66,14/08/2019,B,0.758547582,34
O.faveolata,Bleached,1-34-b,Recovery,0.008615233,0.002288123,-2.640520723,0.472,0.68219427,0.048059987,1,NaN,31,10/07/2019,B,0.753003749,34
O.faveolata,Control,1-34-d,Post-bleach,0.040227408,0.032002371,-1.494817848,NA,0,0,2,NaN,NaN,06/12/2019,NA,NA,34
O.faveolata,Control,1-34-d,Pre-bleach,0.048456116,0.038548609,-1.413991294,NA,0,0,2,NaN,NaN,17/11/2019,NA,NA,34
O.faveolata,Control,1-34-d,Pre-outplant,0.33006512,0.262578845,-0.580740266,NA,0,0,2,NaN,NaN,05/03/2020,NA,NA,34
O.faveolata,Control,1-36-a,Post-bleach,0.135027259,0.107419111,-0.968918445,NA,0,0,1,NaN,NaN,07/06/2019,NA,NA,36
O.faveolata,Control,1-36-a,Pre-bleach,0.028593333,0.022747039,-1.643075121,NA,0,0,1,NaN,NaN,22/05/2019,NA,NA,36
O.faveolata,Control,1-36-a,Pre-outplant,0.020815797,0.016559726,-1.780946859,NA,0,0,1,NaN,NaN,14/08/2019,NA,NA,36
O.faveolata,Bleached,1-36-b,Post-bleach,0.005436231,0.00432472,-2.36404196,0.252,0,0,1,5.36,NaN,07/06/2019,B,0.303637583,36
O.faveolata,Bleached,1-36-b,Pre-bleach,0.045242504,0.035992063,-1.443793264,0.529,0,0,1,0,NaN,22/05/2019,B,0.015152066,36
O.faveolata,Bleached,1-36-b,Pre-outplant,0.064137974,0.051024098,-1.292224661,0.418,0,0,1,NaN,66,14/08/2019,B,0.758547582,36
