Species,Core,Colony,Timepoint,PropD,PropD0
O.faveolata,1-13-a,13,1,0.783555403,0.788914041
O.faveolata,1-13-a,13,2,0.874153615,0.788914041
O.faveolata,1-13-a,13,3,0.964751827,0.788914041
O.faveolata,1-13-d,13,1,0.097927189,0.056453359
O.faveolata,1-13-d,13,2,0.063389453,0.056453359
O.faveolata,1-13-d,13,3,0.028851717,0.056453359
O.faveolata,1-21-d,21,1,0.009259288,0.00705967
O.faveolata,1-21-d,21,2,0.005713139,0.00705967
O.faveolata,1-21-d,21,3,0.002166989,0.00705967
O.faveolata,1-34-d,34,1,0,0
O.faveolata,1-34-d,34,2,0,0
O.faveolata,1-34-d,34,3,0,0
O.faveolata,1-36-a,36,1,0,0
O.faveolata,1-36-a,36,2,0,0
O.faveolata,1-36-a,36,3,0,0
O.faveolata,1-62-a,62,1,0,0
O.faveolata,1-62-a,62,2,0,0
O.faveolata,1-62-a,62,3,0,0
O.faveolata,1-64-b,64,1,0.851280214,0.883901587
O.faveolata,1-64-b,64,2,0.913711038,0.883901587
O.faveolata,1-64-b,64,3,0.976141862,0.883901587
O.faveolata,1-65-b,65,1,1,1
O.faveolata,1-65-b,65,2,1,1
O.faveolata,1-65-b,65,3,1,1
O.faveolata,1-66-d,66,1,1,1
O.faveolata,1-66-d,66,2,1,1
O.faveolata,1-66-d,66,3,1,1
O.faveolata,1-81-d,81,1,0.008992916,0.028047107
O.faveolata,1-81-d,81,2,0.005352261,0.028047107
O.faveolata,1-81-d,81,3,0.001711606,0.028047107
S.siderea,2-16-b,16,1,0.114552309,0.240387655
S.siderea,2-16-b,16,2,0.11455231,0.240387655
S.siderea,2-16-b,16,3,0,0.240387655
S.siderea,2-18-b,18,1,1,1
S.siderea,2-18-b,18,2,1,1
S.siderea,2-18-b,18,3,1,1
S.siderea,2-18-c,18,1,0.90341994,0.992728986
S.siderea,2-18-c,18,2,0.951709969,0.992728986
S.siderea,2-18-c,18,3,1,0.992728986
S.siderea,2-19-a,19,1,0.512837635,0.779658304
S.siderea,2-19-a,19,2,0.493961112,0.779658304
S.siderea,2-19-a,19,3,0.475084589,0.779658304
S.siderea,2-22-d,22,1,0.028524568,0
S.siderea,2-22-d,22,2,0.014262284,0
S.siderea,2-22-d,22,3,0,0
S.siderea,2-23-b,23,1,0,0
S.siderea,2-23-b,23,2,0,0
S.siderea,2-23-b,23,3,0,0
S.siderea,2-26-c,26,1,0,0
S.siderea,2-26-c,26,2,0.011954414,0
S.siderea,2-26-c,26,3,0.023908829,0
S.siderea,2-3-c,3,1,0.476035389,0.66018168
S.siderea,2-3-c,3,2,0.690014175,0.660181677
S.siderea,2-3-c,3,3,0.903992961,0.660181677
S.siderea,2-35-d,35,1,1,1
S.siderea,2-35-d,35,2,1,1
S.siderea,2-35-d,35,3,1,1
S.siderea,2-41-b,41,1,0.997806072,0.983968157
S.siderea,2-41-b,41,2,0.998903036,0.983968157
S.siderea,2-41-b,41,3,1,0.983968157
M.cavernosa,3-100-d,100,1,0,0
M.cavernosa,3-100-d,100,2,0.046652052,0
M.cavernosa,3-100-d,100,3,0.093304104,0
M.cavernosa,3-2-a,2,1,0,0
M.cavernosa,3-2-a,2,2,0,0
M.cavernosa,3-2-a,2,3,0,0
M.cavernosa,3-27-a,27,1,0,0
M.cavernosa,3-27-a,27,2,0,0
M.cavernosa,3-27-a,27,3,0,0
M.cavernosa,3-28-d,28,1,0,0
M.cavernosa,3-28-d,28,2,0,0
M.cavernosa,3-28-d,28,3,0,0
M.cavernosa,3-67-a,67,1,0,0
M.cavernosa,3-67-a,67,2,0,0
M.cavernosa,3-67-a,67,3,0,0
M.cavernosa,3-68-b,68,1,0,0
M.cavernosa,3-68-b,68,2,0,0
M.cavernosa,3-68-b,68,3,0,0
M.cavernosa,3-68-d,68,1,0,0
M.cavernosa,3-68-d,68,2,0,0
M.cavernosa,3-68-d,68,3,0,0
M.cavernosa,3-72-d,72,1,0,0
M.cavernosa,3-72-d,72,2,0,0
M.cavernosa,3-72-d,72,3,0,0
M.cavernosa,3-87-a,87,1,0,0
M.cavernosa,3-87-a,87,2,0,0
M.cavernosa,3-87-a,87,3,0,0
M.cavernosa,3-87-d,87,1,0,0
M.cavernosa,3-87-d,87,2,0,0
M.cavernosa,3-87-d,87,3,0,0
