Species,Treatment,Core,Colony,pre_sh,pre_propD,post_propD,post_sh,preDcat,postDcat,Batch
O.faveolata,Control,1-13-a,13,0.011869641,0.788914041,0.964751827,0.012243249,0.78,0.96,April
O.faveolata,Manipulated,1-21-a,21,0.197892105,0.006538041,0.876184104,0.020603799,0,0.86,April
O.faveolata,Manipulated,1-21-b,21,0.282124857,0.000404087,0.850047466,0.0140357,0,0.84,April
O.faveolata,Manipulated,1-34-a,34,0.081211204,0,0.614804602,0.017141774,0,0.6,April
O.faveolata,Manipulated,1-34-b,34,0.055219537,0,0.027393282,0.080682194,0,0.02,April
O.faveolata,Control,1-36-a,36,0.022747039,0,0,0.016559726,0,0,April
O.faveolata,Manipulated,1-36-b,36,0.035992063,0,0,0.051024098,0,0,April
O.faveolata,Manipulated,1-4-a,4,0.02619741,0.001555174,1,0.006148116,0,1,April
O.faveolata,Manipulated,1-4-b,4,0.032383528,0.033783348,1,0.004708098,0.02,1,April
O.faveolata,Control,1-62-a,62,0.023072571,0,0,0.020246588,0,0,April
O.faveolata,Manipulated,1-62-b,62,0.029817903,0,1,0.005647625,0,1,April
O.faveolata,Manipulated,1-64-a,64,0.027206026,0.843985446,1,0.019429062,0.84,1,April
O.faveolata,Control,1-64-b,64,0.032892499,0.883901587,0.976141862,0.037465262,0.88,0.96,April
O.faveolata,Manipulated,1-65-a,65,0.014643052,1,1,0.003818866,1,1,April
O.faveolata,Control,1-65-b,65,0.007163399,1,1,0.030710165,1,1,April
O.faveolata,Manipulated,1-66-a,66,0.003126708,1,1,0.007062331,1,1,April
O.faveolata,Manipulated,1-66-b,66,0.013051506,1,1,0.010704492,1,1,April
O.faveolata,Manipulated,1-81-a,81,0.072196172,0.014617029,1,0.013906085,0,1,April
O.faveolata,Manipulated,1-81-b,81,0.171706861,0.003250417,1,0.009880913,0,1,April
