Species,Treatment,Core,Colony,pre_sh,pre_propD,post_propD,post_sh,preDcat,postDcat,Batch
M.cavernosa,Manipulated,3-100-c,100,0.015943492,0,0.998961938,0.010580148,0,0.98,October
M.cavernosa,Control,3-100-d,100,0.00780769,0,0.093304104,0.001675632,0,0.08,October
M.cavernosa,Manipulated,3-2-c,2,0.017924932,0,1,0.012374424,0,1,October
M.cavernosa,Manipulated,3-2-d,2,0.017248461,0,NA,NA,0,NA,October
M.cavernosa,Manipulated,3-27-c,27,0.081905917,0,0.999640797,0.088635195,0,0.98,October
M.cavernosa,Manipulated,3-27-d,27,0.024948752,0,1,0.097025325,0,1,October
M.cavernosa,Manipulated,3-28-c,28,0.008284392,0,0.99944882,0.038856522,0,0.98,October
M.cavernosa,Control,3-28-d,28,0.011554603,0,0,0.003528111,0,0,October
M.cavernosa,Manipulated,3-39-c,39,0.035912042,0,0.998789466,0.022456123,0,0.98,October
M.cavernosa,Manipulated,3-39-d,39,0.015572145,0,0.998831463,0.039519048,0,0.98,October
M.cavernosa,Manipulated,3-67-c,67,0.027434051,0,1,0.006053584,0,1,October
M.cavernosa,Manipulated,3-67-d,67,0.003738335,0,0.990972618,0.009499637,0,0.98,October
M.cavernosa,Manipulated,3-68-c,68,0.022167832,0,0.995272576,0.000914228,0,0.98,October
M.cavernosa,Control,3-68-d,68,0.008546868,0,0,0.007612634,0,0,October
M.cavernosa,Manipulated,3-71-c,71,0.004467277,0,1,0.001661273,0,1,October
M.cavernosa,Manipulated,3-71-d,71,0.248981677,0,1,0.001430272,0,1,October
M.cavernosa,Manipulated,3-72-c,72,0.007011565,0.043286258,1,0.048311323,0.04,1,October
M.cavernosa,Control,3-72-d,72,0.013636446,0,0,0.012798437,0,0,October
M.cavernosa,Manipulated,3-87-c,87,0.018973261,0,1,0.004565552,0,1,October
M.cavernosa,Control,3-87-d,87,0.039434755,0,0,0.000937828,0,0,October
