Species,Treatment,Core,Colony,pre_sh,pre_propD,post_propD,post_sh,preDcat,postDcat,Batch
S.siderea,Manipulated,2-16-c,16,0.000684776,0.862705922,1,0.001345968,0.86,1,October
S.siderea,Manipulated,2-16-d,16,0.001107825,0.775884498,1,0.002302409,0.76,1,October
S.siderea,Control,2-18-c,18,0.000387743,0.992728986,1,0.000784119,0.98,1,October
S.siderea,Manipulated,2-18-d,18,0.000772788,1,1,0.001666873,1,1,October
S.siderea,Manipulated,2-19-c,19,0.000924913,0.971479252,1,0.003574259,0.96,1,October
S.siderea,Manipulated,2-19-d,19,0.000628352,1,1,0.002353233,1,1,October
S.siderea,Manipulated,2-22-c,22,0.00010886,0,0.089262986,0.006464051,0,0.08,October
S.siderea,Control,2-22-d,22,0.000481646,0,0,0.001031715,0,0,October
S.siderea,Manipulated,2-23-c,23,0.000602417,0.592263063,0.991072555,0.002247906,0.58,0.98,October
S.siderea,Manipulated,2-23-d,23,0.000266618,0.279185985,0.996371332,0.012268517,0.26,0.98,October
S.siderea,Control,2-26-c,26,3.80E-05,0,0.023908829,0.000147211,0,0.02,October
S.siderea,Manipulated,2-26-d,26,4.47E-06,0,NA,0,0,NA,October
S.siderea,Control,2-3-c,3,0.000714106,0.660181677,0.903992961,0.003630733,0.66,0.9,October
S.siderea,Manipulated,2-3-d,3,0.000318944,0.631900151,0.938954542,0.003422421,0.62,0.92,October
S.siderea,Manipulated,2-35-c,35,0.006646728,1,1,0.007792814,1,1,October
S.siderea,Control,2-35-d,35,0.001866253,1,1,0.00315501,1,1,October
S.siderea,Manipulated,2-41-c,41,0.004987636,0.988140487,1,0.008782577,0.98,1,October
S.siderea,Manipulated,2-41-d,41,0.001609487,0.88518018,1,0.008185919,0.88,1,October
S.siderea,Manipulated,2-48-c,48,0,NA,0.996044208,0.000226465,NA,0.98,October
S.siderea,Manipulated,2-48-d,48,0,NA,0.998768934,0.002628831,NA,0.98,October
