Species,Treatment,Core,Colony,Timepoint,Sym.Host,logSH,Y2,PropD,Batch,DHW,InitialDom,PropDAv,Shprop
M.cavernosa,Bleached,3-100-a,100,Post-bleach,0.00174702,-2.757702231,0.134,0,1,5.36,C,0.037037037,0.538493358
M.cavernosa,Bleached,3-100-a,100,Pre-bleach,0.003244274,-2.488882445,0.548,0,1,0,C,0.001442875,1
M.cavernosa,Bleached,3-100-b,100,Post-bleach,0.002452742,-2.610348048,0.172,0,1,5.36,C,0.037037037,1.810640125
M.cavernosa,Bleached,3-100-b,100,Pre-bleach,0.001354627,-2.868180239,0.549,0,1,0,C,0.001442875,1
M.cavernosa,Bleached,3-100-c,100,Post-bleach,0.000423049,-3.373609602,0.155,0,2,6.43,C,0.037037037,0.026534275
M.cavernosa,Bleached,3-100-c,100,Pre-bleach,0.015943492,-1.797416545,0.571,0,2,0,C,0.001442875,1
M.cavernosa,Bleached,3-2-b,2,Post-bleach,0.015800472,-1.801329934,0.14,0,1,5.36,C,0.037037037,0.778085167
M.cavernosa,Bleached,3-2-b,2,Pre-bleach,0.020306867,-1.692357076,0.539,0,1,0,C,0.001442875,1
M.cavernosa,Bleached,3-2-c,2,Post-bleach,0,-6.5,0.243,NA,2,7.86,C,0.037037037,0
M.cavernosa,Bleached,3-2-c,2,Pre-bleach,0.017924932,-1.746542475,0.571,0,2,0,C,0.001442875,1
M.cavernosa,Bleached,3-2-d,2,Post-bleach,5.84E-07,-6.233846106,2.30E-01,0,2,7.86,C,0.037037037,3.39E-05
M.cavernosa,Bleached,3-2-d,2,Pre-bleach,0.017248461,-1.76324964,0.564,0,2,0,C,0.001442875,1
M.cavernosa,Bleached,3-27-b,27,Post-bleach,0.002275835,-2.642859287,0.24,0,1,5.36,C,0.037037037,0.599570101
M.cavernosa,Bleached,3-27-b,27,Pre-bleach,0.003795778,-2.420699151,0.569,0,1,0,C,0.001442875,1
M.cavernosa,Bleached,3-27-c,27,Post-bleach,0.000320945,-3.493570055,0.162,0,2,6.43,C,0.037037037,0.003918459
M.cavernosa,Bleached,3-27-c,27,Pre-bleach,0.081905917,-1.086684725,0.586,0,2,0,C,0.001442875,1
M.cavernosa,Bleached,3-27-d,27,Post-bleach,3.13E-05,-4.504428781,3.10E-01,0,2,7.86,C,0.037037037,0.001254572
M.cavernosa,Bleached,3-27-d,27,Pre-bleach,0.024948752,-1.602951167,0.565,0,2,0,C,0.001442875,1
M.cavernosa,Bleached,3-28-a,28,Post-bleach,0.000861185,-3.064903341,0.18,0,1,8.07,C,0.037037037,NA
M.cavernosa,Bleached,3-28-a,28,Pre-bleach,NA,NA,0.537,0,1,0,C,0.001442875,NA
M.cavernosa,Bleached,3-28-b,28,Post-bleach,0.000175118,-3.756670271,0.111,0,1,9.07,C,0.037037037,NA
M.cavernosa,Bleached,3-28-b,28,Pre-bleach,NA,NA,0.533,0,1,0,C,0.001442875,NA
M.cavernosa,Bleached,3-28-c,28,Post-bleach,0,-6.5,0.347,NA,2,7.86,C,0.037037037,0
M.cavernosa,Bleached,3-28-c,28,Pre-bleach,0.008284392,-2.081739375,0.568,0,2,0,C,0.001442875,1
M.cavernosa,Bleached,3-39-a,39,Post-bleach,0.023949037,-1.620711937,0.188,0,1,5.36,C,0.037037037,1.221793084
M.cavernosa,Bleached,3-39-a,39,Pre-bleach,0.019601549,-1.707709606,0.553,0,1,0,C,0.001442875,1
M.cavernosa,Bleached,3-39-b,39,Post-bleach,0.009176193,-2.037337451,0.222,0,1,5.36,C,0.037037037,0.97198093
M.cavernosa,Bleached,3-39-b,39,Pre-bleach,0.009440713,-2.024995221,0.546,0,1,0,C,0.001442875,1
M.cavernosa,Bleached,3-39-c,39,Post-bleach,0.000229552,-3.639118058,0.21,0,2,6.43,C,0.037037037,0.006392062
M.cavernosa,Bleached,3-39-c,39,Pre-bleach,0.035912042,-1.444759905,0.503,0,2,0,C,0.001442875,1
M.cavernosa,Bleached,3-39-d,39,Post-bleach,0.000721662,-3.14166599,0.182,0,2,6.43,C,0.037037037,0.046343134
M.cavernosa,Bleached,3-39-d,39,Pre-bleach,0.015572145,-1.807651564,0.531,0,2,0,C,0.001442875,1
M.cavernosa,Bleached,3-67-b,67,Post-bleach,0.008388401,-2.076320836,0.207,0,1,6.07,C,0.037037037,0.611108323
M.cavernosa,Bleached,3-67-b,67,Pre-bleach,0.013726537,-1.862439024,0.532,0,1,0,C,0.001442875,1
M.cavernosa,Bleached,3-67-c,67,Post-bleach,8.27E-06,-5.082406372,3.35E-01,0,2,7.86,C,0.037037037,0.00030145
M.cavernosa,Bleached,3-67-c,67,Pre-bleach,0.027434051,-1.561710058,0.61,0,2,0,C,0.001442875,1
M.cavernosa,Bleached,3-67-d,67,Post-bleach,1.47E-05,-4.833605081,2.79E-01,0,2,7.86,C,0.037037037,0.003932232
M.cavernosa,Bleached,3-67-d,67,Pre-bleach,0.003738335,-2.42732181,0.58,0,2,0,C,0.001442875,1
M.cavernosa,Bleached,3-68-a,68,Post-bleach,0.000687245,-3.162888605,0.08,0,1,9.07,C,0.037037037,0.374101279
M.cavernosa,Bleached,3-68-a,68,Pre-bleach,0.001837056,-2.735877556,0.545,0,1,0,C,0.001442875,1
M.cavernosa,Bleached,3-68-c,68,Post-bleach,7.77E-05,-4.109477426,3.01E-01,0,2,9.36,C,0.037037037,0.003505079
M.cavernosa,Bleached,3-68-c,68,Pre-bleach,0.022167832,-1.654276782,0.557,0,2,0,C,0.001442875,1
M.cavernosa,Bleached,3-71-a,71,Post-bleach,0.004989502,-2.301942817,0.155,0,1,5.36,C,0.037037037,0.952307898
M.cavernosa,Bleached,3-71-a,71,Pre-bleach,0.005239379,-2.280720203,0.536,0,1,0,C,0.001442875,1
M.cavernosa,Bleached,3-71-b,71,Post-bleach,0.001326749,-2.877211139,0.153,0,1,5.36,C,0.037037037,0.756808141
M.cavernosa,Bleached,3-71-b,71,Pre-bleach,0.001753085,-2.756197081,0.501,0,1,0,C,0.001442875,1
