Species,Treatment,Core,Colony,Timepoint,Sym.Host.old,Sym.Host,logSH,Y2,PropD.old,PropD,Batch,DHW,Recov.Days,Date,InitialDom,PropDAv,Shprop
M.cavernosa,Bleached,3-100-a,100,Pre-outplant,0.145750004,0.013523082,-1.868924309,0.282,0.996842401,0.996842401,1,NaN,66,14/08/2019,C,0.938948279,4.168292197
M.cavernosa,Bleached,3-100-a,100,Recovery,0.003240544,0.000300666,-3.521915008,0.376,0.938906619,0.938906619,1,NaN,31,10/07/2019,C,0.439014519,0.092675896
M.cavernosa,Bleached,3-100-a,100,Post-bleach,,0.00174702,,,,0,1,,0,,C,0.037037037,0.538493358
M.cavernosa,Bleached,3-100-b,100,Pre-outplant,0.262202829,0.024327893,-1.613895511,0.315,0.988114418,0.988114418,1,NaN,66,14/08/2019,C,0.938948279,17.9591083
M.cavernosa,Bleached,3-100-b,100,Recovery,8.51E-04,7.90E-05,-4.102553736,0.368,0,0,1,NaN,31,10/07/2019,C,0.439014519,5.83E-02
M.cavernosa,Bleached,3-100-b,100,Post-bleach,,0.002452742,,,,0,1,,0,,C,0.037037037,1.810640125
M.cavernosa,Bleached,3-100-c,100,Pre-outplant,0.11403144,0.010580148,-1.975508276,0.23,0.998961938,0.998961938,2,NaN,91,05/03/2020,C,0.938948279,0.66360293
M.cavernosa,Bleached,3-100-c,100,Recovery,0.002947381,0.000273466,-3.563096623,0.254,0.984085758,0.984085758,2,NaN,31,06/01/2020,C,0.439014519,1.72E-02
M.cavernosa,Bleached,3-100-c,100,Post-bleach,,0.000423049,,,,0,2,,0,,C,0.037037037,0.026534275
M.cavernosa,Bleached,3-2-b,2,Pre-outplant,0.663927193,0.061600973,-1.210412429,0.295,0.993029323,0.993029323,1,NaN,66,14/08/2019,C,0.938948279,3.033504528
M.cavernosa,Bleached,3-2-b,2,Recovery,0.028005868,0.000200531,-3.697818907,0.325,0.922827077,0,1,NaN,31,10/07/2019,C,0.439014519,9.88E-03
M.cavernosa,Bleached,3-2-b,2,Post-bleach,,0.015800472,,,,0,1,,0,,C,0.037037037,0.778085167
M.cavernosa,Bleached,3-2-c,2,Pre-outplant,0.133369915,0.012374424,-1.907475011,0.294,1,1,2,NaN,88,05/03/2020,C,0.938948279,0.690347054
M.cavernosa,Bleached,3-2-c,2,Recovery,0,0,-6.5,0.331,NaN,NA,2,NaN,31,09/01/2020,C,0.439014519,0.00E+00
M.cavernosa,Bleached,3-2-c,2,Post-bleach,,0,,,,NA,2,,0,,C,0.037037037,0
M.cavernosa,Bleached,3-2-d,2,Recovery,0,0,-6.5,0.323,NaN,NA,2,NaN,31,09/01/2020,C,0.439014519,0.00E+00
M.cavernosa,Bleached,3-2-d,2,Post-bleach,,5.84E-07,,,,0,2,,0,,C,0.037037037,3.39E-05
M.cavernosa,Bleached,3-27-b,27,Pre-outplant,0.21721382,0.02015369,-1.695645433,0.306,0.998488262,0.998488262,1,NaN,66,14/08/2019,C,0.938948279,5.309501767
M.cavernosa,Bleached,3-27-b,27,Recovery,0.023594545,0.002189166,-2.659721278,0.352,0.935563841,0.935563841,1,NaN,31,10/07/2019,C,0.439014519,5.77E-01
M.cavernosa,Bleached,3-27-b,27,Post-bleach,,0.002275835,,,,0,1,,0,,C,0.037037037,0.599570101
M.cavernosa,Bleached,3-27-c,27,Pre-outplant,0.955298487,0.088635195,-1.052393795,0.182,0.999640797,0.999640797,2,NaN,91,05/03/2020,C,0.938948279,1.082158631
M.cavernosa,Bleached,3-27-c,27,Recovery,0,0,-6.5,0.285,NaN,NA,2,NaN,31,06/01/2020,C,0.439014519,0.00E+00
M.cavernosa,Bleached,3-27-c,27,Post-bleach,,0.000320945,,,,0,2,,0,,C,0.037037037,0.003918459
M.cavernosa,Bleached,3-27-d,27,Pre-outplant,1.045726206,0.097025325,-1.013114894,0.299,1,1,2,NaN,88,05/03/2020,C,0.938948279,3.888985108
M.cavernosa,Bleached,3-27-d,27,Recovery,0.020312409,0.001884641,-2.724771449,0.276,1,1,2,NaN,31,09/01/2020,C,0.439014519,7.55E-02
M.cavernosa,Bleached,3-27-d,27,Post-bleach,,3.13E-05,,,,0,2,,0,,C,0.037037037,0.001254572
M.cavernosa,Bleached,3-28-a,28,Pre-outplant,0.679367699,0.063022254,-1.200506066,0.295,0.999820242,1,1,NaN,52,14/08/2019,C,0.938948279,NA
M.cavernosa,Bleached,3-28-a,28,Recovery,0.004724919,0.000438391,-3.35813856,0.287,1,1,1,NaN,31,24/07/2019,C,0.439014519,NA
M.cavernosa,Bleached,3-28-a,28,Post-bleach,,0.000861185,,,,0,1,,0,,C,0.037037037,NA
M.cavernosa,Bleached,3-28-b,28,Pre-outplant,0.244093397,0.02264765,-1.644976855,0.287,1,1,1,NaN,50,14/08/2019,C,0.938948279,NA
M.cavernosa,Bleached,3-28-b,28,Recovery,0.001329874,0.000123389,-3.908722422,0.262,1,1,1,NaN,31,26/07/2019,C,0.439014519,NA
M.cavernosa,Bleached,3-28-b,28,Post-bleach,,0.000175118,,,,0,1,,0,,C,0.037037037,NA
M.cavernosa,Bleached,3-28-c,28,Pre-outplant,0.418790487,0.038856522,-1.410536078,0.258,0.99944882,0.99944882,2,NaN,88,05/03/2020,C,0.938948279,4.690328753
M.cavernosa,Bleached,3-28-c,28,Recovery,0,0,-6.5,0.364,NaN,NA,2,NaN,31,09/01/2020,C,0.439014519,0.00E+00
M.cavernosa,Bleached,3-28-c,28,Post-bleach,,0,,,,NA,2,,0,,C,0.037037037,0
M.cavernosa,Bleached,3-39-a,39,Pre-outplant,0.069890444,0.006484626,-2.188115089,0.448,0.24430684,0.24430684,1,NaN,66,14/08/2019,C,0.938948279,0.33082212
M.cavernosa,Bleached,3-39-a,39,Recovery,0.062485483,0.005797573,-2.236753754,0.464,0.066354601,0.066354601,1,NaN,31,10/07/2019,C,0.439014519,2.96E-01
M.cavernosa,Bleached,3-39-a,39,Post-bleach,,0.023949037,,,,0,1,,0,,C,0.037037037,1.221793084
M.cavernosa,Bleached,3-39-b,39,Pre-outplant,0.086321762,0.008009168,-2.096412586,0.397,0.251152761,0.251152761,1,NaN,66,14/08/2019,C,0.938948279,0.848364737
M.cavernosa,Bleached,3-39-b,39,Recovery,0.010445744,0.000969185,-3.013593487,0.415,0.168923979,0.168923979,1,NaN,31,10/07/2019,C,0.439014519,1.03E-01
M.cavernosa,Bleached,3-39-b,39,Post-bleach,,0.009176193,,,,0,1,,0,,C,0.037037037,0.97198093
M.cavernosa,Bleached,3-39-c,39,Pre-outplant,0.24202914,0.022456123,-1.648665228,0.258,0.998789466,0.998789466,2,NaN,91,05/03/2020,C,0.938948279,0.625308998
M.cavernosa,Bleached,3-39-c,39,Recovery,0,0,-6.5,0.271,NaN,NA,2,NaN,31,06/01/2020,C,0.439014519,0.00E+00
M.cavernosa,Bleached,3-39-c,39,Post-bleach,,0.000229552,,,,0,2,,0,,C,0.037037037,0.006392062
M.cavernosa,Bleached,3-39-d,39,Pre-outplant,0.425931106,0.039519048,-1.403193527,0.309,0.998831463,0.998831463,2,NaN,91,05/03/2020,C,0.938948279,2.537803752
M.cavernosa,Bleached,3-39-d,39,Recovery,0.04333182,0.004020444,-2.39572595,0.261,0.99064119,0.99064119,2,NaN,31,06/01/2020,C,0.439014519,2.58E-01
M.cavernosa,Bleached,3-39-d,39,Post-bleach,,0.000721662,,,,0,2,,0,,C,0.037037037,0.046343134
M.cavernosa,Bleached,3-67-b,67,Pre-outplant,0.262630051,0.024367531,-1.613188466,0.244,0.96319597,0.96319597,1,NaN,66,14/08/2019,C,0.938948279,1.775213297
M.cavernosa,Bleached,3-67-b,67,Recovery,9.26E-04,8.59E-05,-4.065828077,0.195,0,0,1,NaN,31,10/07/2019,C,0.439014519,6.26E-03
M.cavernosa,Bleached,3-67-b,67,Post-bleach,,0.008388401,,,,0,1,,0,,C,0.037037037,0.611108323
M.cavernosa,Bleached,3-67-c,67,Pre-outplant,0.065244729,0.006053584,-2.217987451,0.339,1,1,2,NaN,88,05/03/2020,C,0.938948279,0.220659501
M.cavernosa,Bleached,3-67-c,67,Recovery,0,0,-6.5,0.384,NaN,NA,2,NaN,31,09/01/2020,C,0.439014519,0.00E+00
M.cavernosa,Bleached,3-67-c,67,Post-bleach,,8.27E-06,,,,0,2,,0,,C,0.037037037,0.00030145
