Species,Treatment,Core,Colony,Timepoint,Sym.Host,logSH,Y2,PropD,Batch,DHW,InitialDom,PropDAv,Shprop
O.faveolata,Bleached,1-13-c,13,Post-bleach,0.003931676,-2.405422296,0.134,1,2,13.29,B,0.303637583,0.095354313
O.faveolata,Bleached,1-13-c,13,Pre-bleach,0.041232283,-1.384762618,0.566,0.160033067,2,0,B,0.015152066,1
O.faveolata,Bleached,1-21-a,21,Post-bleach,0.001337454,-2.873721301,0.206,0.191332734,1,5.36,B,0.303637583,0.006758501
O.faveolata,Bleached,1-21-a,21,Pre-bleach,0.197892105,-0.703571531,0.522,0.006538041,1,0,B,0.015152066,1
O.faveolata,Bleached,1-21-b,21,Post-bleach,0.001599506,-2.796014128,0.192,0.185503457,1,5.36,B,0.303637583,0.005669497
O.faveolata,Bleached,1-21-b,21,Pre-bleach,0.282124857,-0.549558648,0.52,0.000404087,1,0,B,0.015152066,1
O.faveolata,Bleached,1-34-a,34,Post-bleach,0.000657064,-3.182392004,0.22,0,1,7.5,B,0.303637583,0.008090805
O.faveolata,Bleached,1-34-a,34,Pre-bleach,0.081211204,-1.090384049,0.514,0,1,0,B,0.015152066,1
O.faveolata,Bleached,1-34-b,34,Post-bleach,0.004724321,-2.325660636,0.265,0,1,6.07,B,0.303637583,0.085555245
O.faveolata,Bleached,1-34-b,34,Pre-bleach,0.055219537,-1.257907241,0.532,0,1,0,B,0.015152066,1
O.faveolata,Bleached,1-36-b,36,Post-bleach,0.00432472,-2.36404196,0.252,0,1,5.36,B,0.303637583,0.120157603
O.faveolata,Bleached,1-36-b,36,Pre-bleach,0.035992063,-1.443793264,0.529,0,1,0,B,0.015152066,1
O.faveolata,Bleached,1-36-c,36,Post-bleach,0.000276741,-3.557926923,0.267,0,2,7.86,B,0.303637583,0.005968158
O.faveolata,Bleached,1-36-c,36,Pre-bleach,0.046369584,-1.3337668,0.541,0,2,0,B,0.015152066,1
O.faveolata,Bleached,1-4-a,4,Post-bleach,0.000353842,-3.451191208,0.132,0.092523851,1,11.64,B,0.303637583,0.013506755
O.faveolata,Bleached,1-4-a,4,Pre-bleach,0.02619741,-1.581741647,0.532,0.001555174,1,0,B,0.015152066,1
O.faveolata,Bleached,1-4-b,4,Post-bleach,0.000131319,-3.881673395,0.232,1,1,12.64,B,0.303637583,0.004055117
O.faveolata,Bleached,1-4-b,4,Pre-bleach,0.032383528,-1.489675841,0.551,0.033783348,1,0,B,0.015152066,1
O.faveolata,Bleached,1-4-c,4,Post-bleach,0.000610297,-3.214458451,1.94E-01,0.085203702,2,11.36,B,0.303637583,0.052373345
O.faveolata,Bleached,1-4-c,4,Pre-bleach,0.011652817,-1.933569067,0.563,0,2,0,B,0.015152066,1
O.faveolata,Bleached,1-62-b,62,Post-bleach,0.000366175,-3.436310805,0.053,0,1,10.64,B,0.303637583,0.012280374
O.faveolata,Bleached,1-62-b,62,Pre-bleach,0.029817903,-1.525522907,0.52,0,1,0,B,0.015152066,1
O.faveolata,Bleached,1-62-c,62,Post-bleach,0.000503166,-3.298288552,2.55E-01,0,2,9.36,B,0.303637583,0.0235766
O.faveolata,Bleached,1-62-c,62,Pre-bleach,0.021341754,-1.67076988,0.563,0,2,0,B,0.015152066,1
O.faveolata,Bleached,1-62-d,62,Post-bleach,0.000799742,-3.09705,2.87E-01,0,2,9.36,B,0.303637583,0.01090021
O.faveolata,Bleached,1-62-d,62,Pre-bleach,0.073369415,-1.134484943,0.566,0,2,0,B,0.015152066,1
O.faveolata,Bleached,1-64-a,64,Post-bleach,0.001556326,-2.807899401,0.259,1,1,13.64,D,1,0.057205194
O.faveolata,Bleached,1-64-a,64,Pre-bleach,0.027206026,-1.565334885,0.561,0.843985446,1,0,D,0.976918506,1
O.faveolata,Bleached,1-64-c,64,Post-bleach,0.005104057,-2.292084503,1.40E-01,1,2,13.29,D,1,0.250708339
O.faveolata,Bleached,1-64-c,64,Pre-bleach,0.020358545,-1.691253269,0.561,0.9713626,2,0,D,0.976918506,1
O.faveolata,Bleached,1-64-d,64,Post-bleach,0.003199052,-2.49497872,1.08E-01,1,2,13.29,NA,NA,0.172768022
O.faveolata,Bleached,1-64-d,64,Pre-bleach,0.018516459,-1.732442054,0.554,0.485454513,2,0,NA,NA,1
O.faveolata,Bleached,1-65-a,65,Post-bleach,0.000128661,-3.89055378,0.239,1,1,10.64,D,1,0.008786488
O.faveolata,Bleached,1-65-a,65,Pre-bleach,0.014643052,-1.834368395,0.482,1,1,0,D,0.976918506,1
O.faveolata,Bleached,1-65-c,65,Post-bleach,0.000238348,-3.622787599,1.17E-01,1,2,13.29,D,1,0.027460412
O.faveolata,Bleached,1-65-c,65,Pre-bleach,0.008679695,-2.061495526,0.544,1,2,0,D,0.976918506,1
O.faveolata,Bleached,1-65-d,65,Post-bleach,0.000921556,-3.035478077,1.14E-01,1,2,13.29,D,1,0.075467502
O.faveolata,Bleached,1-65-d,65,Pre-bleach,0.012211296,-1.913238253,0.555,1,2,0,D,0.976918506,1
O.faveolata,Bleached,1-66-a,66,Post-bleach,0.000343205,-3.464445821,0.232,1,1,12.64,D,1,0.109765607
O.faveolata,Bleached,1-66-a,66,Pre-bleach,0.003126708,-2.50491271,0.519,1,1,0,D,0.976918506,1
O.faveolata,Bleached,1-66-b,66,Post-bleach,0.001195525,-2.922441314,0.343,1,1,13.64,D,1,0.09160054
O.faveolata,Bleached,1-66-b,66,Pre-bleach,0.013051506,-1.884339374,0.551,1,1,0,D,0.976918506,1
O.faveolata,Bleached,1-66-c,66,Post-bleach,0.000874266,-3.058356357,1.14E-01,1,2,13.29,D,1,0.043646198
O.faveolata,Bleached,1-66-c,66,Pre-bleach,0.020030748,-1.698302837,0.575,1,2,0,D,0.976918506,1
O.faveolata,Bleached,1-81-a,81,Post-bleach,0,-6.5,0.251,NA,1,11.64,B,0.303637583,0
O.faveolata,Bleached,1-81-a,81,Pre-bleach,0.072196172,-1.14148583,0.544,0.014617029,1,0,B,0.015152066,1
O.faveolata,Bleached,1-81-b,81,Post-bleach,0.000180322,-3.743952172,0.268,1,1,10.64,B,0.303637583,0.001050174
O.faveolata,Bleached,1-81-b,81,Pre-bleach,0.171706861,-0.765212351,0.535,0.003250417,1,0,B,0.015152066,1
O.faveolata,Bleached,1-81-c,81,Post-bleach,0.000606527,-3.21714968,2.96E-01,1,2,12,B,0.303637583,0.004198447
O.faveolata,Bleached,1-81-c,81,Pre-bleach,0.144464594,-0.840238579,0.608,0.022251898,2,0,B,0.015152066,1
