Species,Treatment,Core,Colony,Timepoint,Sym.Host.old,Sym.Host,logSH,Y2,PropD.old,PropD,Batch,DHW,Recov.Days,Date,InitialDom,PropDAv,Shprop
S.siderea,Bleached,2-16-a,16,Pre-outplant,0.01388682,0.000259831,-3.585309364,0.316,1,1,1,NaN,66,14/08/2019,C,0.494825339,0.085611842
S.siderea,Bleached,2-16-c,16,Pre-outplant,0.071936117,0.001345968,-2.870965185,0.215,1,1,2,NaN,85,05/03/2020,D,1,1.965559541
S.siderea,Bleached,2-16-d,16,Pre-outplant,0.123053713,0.002302409,-2.637817453,0.15,1,1,2,NaN,85,05/03/2020,D,1,2.078314716
S.siderea,Bleached,2-18-a,18,Pre-outplant,0.031333725,0.000586273,-3.231900149,0.19,1,1,1,NaN,42,14/08/2019,D,1,0.60731463
S.siderea,Bleached,2-18-d,18,Pre-outplant,0.089087084,0.001666873,-2.778097431,0.14,1,1,2,NaN,91,05/03/2020,D,1,2.156960253
S.siderea,Bleached,2-19-b,19,Pre-outplant,0.006791096,0.000127066,-3.89597232,0.302,1,1,1,NaN,67,14/08/2019,D,1,0.26073913
S.siderea,Bleached,2-19-c,19,Pre-outplant,0.191028539,0.003574259,-2.446813921,0.193,1,1,2,NaN,78,05/03/2020,D,1,3.864427249
S.siderea,Bleached,2-19-d,19,Pre-outplant,0.125770031,0.002353233,-2.628335008,0.187,1,1,2,NaN,78,05/03/2020,D,1,3.745087149
S.siderea,Bleached,2-22-a,22,Pre-outplant,0.01330155,0.000953328,-3.020757547,0.145,0.274261106,0,1,NaN,62,14/08/2019,C,0.494825339,8.71797498
S.siderea,Bleached,2-22-b,22,Pre-outplant,0.008700178,0.000859188,-3.065912046,0.153,0,0,1,NaN,62,14/08/2019,C,0.494825339,0.906890437
S.siderea,Bleached,2-22-c,22,Pre-outplant,0.090450732,0.006464051,-2.18949525,0.203,0.34093866,0.089262986,2,NaN,91,05/03/2020,C,0.494825339,59.37948742
S.siderea,Bleached,2-23-a,23,Pre-outplant,0.008217186,0.000153749,-3.813189071,0.273,1,1,1,NaN,66,14/08/2019,C,0.494825339,0.057895861
S.siderea,Bleached,2-23-c,23,Pre-outplant,0.119271413,0.002247906,-2.648221827,0.226,0.998296237,0.991072555,2,NaN,85,05/03/2020,NA,NA,3.731478361
S.siderea,Bleached,2-23-d,23,Pre-outplant,0.653770063,0.012268517,-1.911207932,0.36,0.999310468,0.996371332,2,NaN,88,05/03/2020,NA,NA,46.01533655
S.siderea,Bleached,2-26-a,26,Pre-outplant,0.023566153,0.000440937,-3.355623478,0.181,1,1,1,NaN,52,14/08/2019,C,0.494825339,4.161471163
S.siderea,Bleached,2-26-b,26,Pre-outplant,2.88E-05,2.84E-06,-5.54639921,0.217,0,0,1,NaN,54,14/08/2019,C,0.494825339,0.016328784
S.siderea,Bleached,2-26-d,26,Pre-outplant,0,0,-6.5,0.147,NaN,NA,2,NaN,80,05/03/2020,C,0.494825339,0
S.siderea,Bleached,2-3-a,3,Pre-outplant,0.285567046,0.027237563,-1.564831744,0.316,0.042158247,0.008270089,1,NaN,62,14/08/2019,NA,NA,64.84655418
S.siderea,Bleached,2-3-b,3,Pre-outplant,0.027841264,0.00058263,-3.234607003,0.312,0.97231224,0.869339722,1,NaN,62,14/08/2019,C,0.494825339,1.115555317
S.siderea,Bleached,2-3-d,3,Pre-outplant,0.173862959,0.003422421,-2.465666592,0.172,0.987831981,0.938954542,2,NaN,88,05/03/2020,NA,NA,10.7304762
S.siderea,Bleached,2-35-a,35,Pre-outplant,0.052806528,0.000988042,-3.005224563,0.213,1,1,1,NaN,42,14/08/2019,D,1,0.346998207
S.siderea,Bleached,2-35-b,35,Pre-outplant,0.111867285,0.002093105,-2.679209077,0.204,1,1,1,NaN,40,14/08/2019,D,1,2.764466827
S.siderea,Bleached,2-35-c,35,Pre-outplant,0.416491828,0.007792814,-2.108305691,0.281,1,1,2,NaN,78,05/03/2020,D,1,1.172428599
S.siderea,Bleached,2-41-a,41,Pre-outplant,0.152233745,0.002848385,-2.545401244,0.188,1,1,1,NaN,42,14/08/2019,D,1,1.005908916
S.siderea,Bleached,2-41-c,41,Pre-outplant,0.469390352,0.008782577,-2.056378016,0.239,1,1,2,NaN,78,05/03/2020,D,1,1.760869679
S.siderea,Bleached,2-41-d,41,Pre-outplant,0.437501568,0.008185919,-2.086932561,0.238,1,1,2,NaN,78,05/03/2020,D,1,5.086042323
S.siderea,Bleached,2-48-a,48,Pre-outplant,0,0,-6.5,0.31,NaN,NA,1,NaN,54,14/08/2019,NA,NA,NA
S.siderea,Bleached,2-48-b,48,Pre-outplant,5.94E-04,2.19E-06,-5.660339064,0.307,0.962718929,0,1,NaN,54,14/08/2019,NA,NA,NA
S.siderea,Bleached,2-48-c,48,Pre-outplant,0.012064779,0.000226465,-3.644998098,0.162,0.999248107,0.996044208,2,NaN,80,05/03/2020,NA,NA,NA
S.siderea,Bleached,2-48-d,48,Pre-outplant,0.140359339,0.002628831,-2.580237294,0.186,0.999766524,0.998768934,2,NaN,80,05/03/2020,NA,NA,NA
S.siderea,Bleached,2-16-a,16,Recovery,0.113822691,0.002129691,-2.671683328,0.406,1,1,1,NaN,31,10/07/2019,C,0.666666667,0.701712691
S.siderea,Bleached,2-16-c,16,Recovery,0.023878567,0.000446782,-3.349903908,0.16,1,1,2,NaN,31,12/01/2020,D,1,0.652446041
S.siderea,Bleached,2-16-d,16,Recovery,0.065306033,0.001221915,-2.912958869,0.137,1,1,2,NaN,31,12/01/2020,D,1,1.102980602
S.siderea,Bleached,2-18-a,18,Recovery,0.015323186,0.000286706,-3.542563105,0.155,1,1,1,NaN,31,03/08/2019,D,1,0.296996944
S.siderea,Bleached,2-18-d,18,Recovery,0.005535234,0.000103568,-3.984776169,0.148,1,1,2,NaN,31,06/01/2020,D,1,0.134018297
S.siderea,Bleached,2-19-b,19,Recovery,0,0,-6.5,0.38,NaN,NA,1,NaN,31,09/08/2019,D,1,0
S.siderea,Bleached,2-19-c,19,Recovery,0.21973858,0.004111442,-2.386005862,0.145,1,1,2,NaN,31,19/01/2020,D,1,4.445234671
S.siderea,Bleached,2-19-d,19,Recovery,0.213064197,0.00398656,-2.399401696,0.135,1,1,2,NaN,31,19/01/2020,D,1,6.344489536
S.siderea,Bleached,2-22-a,22,Recovery,0,0,-6.5,0.224,NaN,NA,1,NaN,31,14/07/2019,C,0.666666667,0
S.siderea,Bleached,2-22-b,22,Recovery,9.65E-04,9.53E-05,-4.020929707,0.207,0,0,1,NaN,31,14/07/2019,C,0.666666667,0.100591091
S.siderea,Bleached,2-22-c,22,Recovery,3.98E-04,3.93E-05,-4.405345012,0.235,0,0,2,NaN,31,06/01/2020,C,0.666666667,0.361014147
S.siderea,Bleached,2-23-a,23,Recovery,0.038589712,0.000722037,-3.141440636,0.401,1,1,1,NaN,31,10/07/2019,C,0.666666667,0.271891204
S.siderea,Bleached,2-23-c,23,Recovery,0.031084951,0.000581618,-3.235361994,0.136,1,1,2,NaN,31,12/01/2020,NA,NA,0.965469274
S.siderea,Bleached,2-23-d,23,Recovery,0.149255923,0.002792669,-2.553980599,0.201,1,1,2,NaN,31,09/01/2020,NA,NA,10.47434176
S.siderea,Bleached,2-26-a,26,Recovery,0.014719374,0.000275408,-3.560022845,0.164,1,1,1,NaN,31,24/07/2019,C,0.666666667,2.599169498
S.siderea,Bleached,2-26-b,26,Recovery,0,0,-6.5,0.25,NaN,NA,1,NaN,31,22/07/2019,C,0.666666667,0
S.siderea,Bleached,2-26-d,26,Recovery,0,0,-6.5,0.205,NaN,NA,2,NaN,31,17/01/2020,C,0.666666667,0
S.siderea,Bleached,2-3-a,3,Recovery,1.28E-04,2.40E-06,-5.619670075,0.439,1,1,1,NaN,31,14/07/2019,NA,NA,0.005713878
S.siderea,Bleached,2-3-b,3,Recovery,7.72E-05,1.44E-06,-5.840174547,0.449,1,1,1,NaN,31,14/07/2019,C,0.666666667,0.002757142
S.siderea,Bleached,2-3-d,3,Recovery,0.055929256,0.001360395,-2.866334891,0.154,0.929877867,0.715299083,2,NaN,31,09/01/2020,NA,NA,4.265363391
S.siderea,Bleached,2-35-a,35,Recovery,0.013906085,0.000260191,-3.584707304,0.217,1,1,1,NaN,31,03/08/2019,D,1,0.091378451
S.siderea,Bleached,2-35-b,35,Recovery,0.002980686,0,-6.5,0.27,1,NA,1,NaN,31,05/08/2019,D,1,0
S.siderea,Bleached,2-35-c,35,Recovery,0.085754732,0.001604523,-2.794654081,0.224,1,1,2,NaN,31,19/01/2020,D,1,0.241400358
S.siderea,Bleached,2-41-a,41,Recovery,0.051273603,0.00095936,-3.018018338,0.151,1,1,1,NaN,31,03/08/2019,D,1,0.338798933
S.siderea,Bleached,2-41-c,41,Recovery,0.057705798,0.00107971,-2.966692723,0.187,1,1,2,NaN,31,19/01/2020,D,1,0.216477131
S.siderea,Bleached,2-41-d,41,Recovery,0.040578521,0.000759249,-3.119615961,0.172,1,1,2,NaN,31,19/01/2020,D,1,0.471732661
S.siderea,Bleached,2-48-a,48,Recovery,0,0,-6.5,0.337,NaN,NA,1,NaN,31,22/07/2019,NA,NA,NA
S.siderea,Bleached,2-48-b,48,Recovery,0,0,-6.5,0.375,NaN,NA,1,NaN,31,22/07/2019,NA,NA,NA
S.siderea,Bleached,2-48-c,48,Recovery,0,0,-6.5,0.292,NaN,NA,2,NaN,31,17/01/2020,NA,NA,NA
S.siderea,Bleached,2-48-d,48,Recovery,0,0,-6.5,0.275,NaN,NA,2,NaN,31,17/01/2020,NA,NA,NA
S.siderea,Bleached,2-16-a,16,Post-bleach,6.82E-05,,,,,1,1,,0,,C,0.25,2.25E-02
S.siderea,Bleached,2-16-c,16,Post-bleach,1.96E-05,,,,,1,2,,0,,D,0.998917672,2.86E-02
S.siderea,Bleached,2-16-d,16,Post-bleach,0,,,,,NA,2,,0,,D,0.998917672,0.00E+00
S.siderea,Bleached,2-18-a,18,Post-bleach,0,,,,,NA,1,,0,,D,0.998917672,0.00E+00
S.siderea,Bleached,2-18-d,18,Post-bleach,0,,,,,NA,2,,0,,D,0.998917672,0.00E+00
S.siderea,Bleached,2-19-b,19,Post-bleach,6.26E-05,,,,,1,1,,0,,D,0.998917672,1.28E-01
S.siderea,Bleached,2-19-c,19,Post-bleach,0.00104257,,,,,1,2,,0,,D,0.998917672,1.13E+00
S.siderea,Bleached,2-19-d,19,Post-bleach,0.000839816,,,,,1,2,,0,,D,0.998917672,1.34E+00
S.siderea,Bleached,2-22-a,22,Post-bleach,1.05E-05,,,,,0,1,,0,,C,0.25,9.60E-02
S.siderea,Bleached,2-22-b,22,Post-bleach,0,,,,,NA,1,,0,,C,0.25,0.00E+00
S.siderea,Bleached,2-22-c,22,Post-bleach,0,,,,,NA,2,,0,,C,0.25,0.00E+00
S.siderea,Bleached,2-23-a,23,Post-bleach,0,,,,,NA,1,,0,,C,0.25,0.00E+00
S.siderea,Bleached,2-23-c,23,Post-bleach,4.77E-05,,,,,0.741940461,2,,0,,NA,NA,7.92E-02
S.siderea,Bleached,2-23-d,23,Post-bleach,2.47E-05,,,,,1,2,,0,,NA,NA,9.26E-02
S.siderea,Bleached,2-26-a,26,Post-bleach,0,,,,,NA,1,,0,,C,0.25,0.00E+00
S.siderea,Bleached,2-26-b,26,Post-bleach,0,,,,,NA,1,,0,,C,0.25,0.00E+00
S.siderea,Bleached,2-26-d,26,Post-bleach,4.75E-07,,,,,0,2,,0,,C,0.25,1.06E-01
S.siderea,Bleached,2-3-a,3,Post-bleach,3.02E-05,,,,,0.630528654,1,,0,,NA,NA,7.19E-02
S.siderea,Bleached,2-3-b,3,Post-bleach,3.95E-05,,,,,0,1,,0,,C,0.25,7.56E-02
S.siderea,Bleached,2-3-d,3,Post-bleach,0.001864743,,,,,0.995620239,2,,0,,NA,NA,5.85E+00
S.siderea,Bleached,2-35-a,35,Post-bleach,0,,,,,NA,1,,0,,D,0.998917672,0.00E+00
S.siderea,Bleached,2-35-b,35,Post-bleach,8.55E-05,,,,,1,1,,0,,D,0.998917672,1.13E-01
S.siderea,Bleached,2-35-c,35,Post-bleach,7.87E-05,,,,,1,2,,0,,D,0.998917672,1.18E-02
S.siderea,Bleached,2-41-a,41,Post-bleach,0.000255566,,,,,0.990259048,1,,0,,D,0.998917672,9.03E-02
S.siderea,Bleached,2-41-c,41,Post-bleach,0.000216681,,,,,1,2,,0,,D,0.998917672,4.34E-02
S.siderea,Bleached,2-41-d,41,Post-bleach,5.49E-05,,,,,1,2,,0,,D,0.998917672,3.41E-02
S.siderea,Bleached,2-48-a,48,Post-bleach,0,,,,,NA,1,,0,,NA,NA,NA
S.siderea,Bleached,2-48-b,48,Post-bleach,0,,,,,NA,1,,0,,NA,NA,NA
S.siderea,Bleached,2-48-c,48,Post-bleach,0,,,,,NA,2,,0,,NA,NA,NA
S.siderea,Bleached,2-48-d,48,Post-bleach,0,,,,,NA,2,,0,,NA,NA,NA
