Species,Treatment,Core,Colony,pre_sh,pre_propD,post_propD,post_sh,preDcat,postDcat,Batch
M.cavernosa,Manipulated,3-100-a,100,0.003244274,0,0.996842401,0.013523082,0,0.98,April
M.cavernosa,Manipulated,3-100-b,100,0.001354627,0,0.988114418,0.024327893,0,0.98,April
M.cavernosa,Manipulated,3-2-b,2,0.020306867,0,0.993029323,0.061600973,0,0.98,April
M.cavernosa,Manipulated,3-27-b,27,0.003795778,0,0.998488262,0.02015369,0,0.98,April
M.cavernosa,Manipulated,3-28-a,28,NA,0,1,0.063022254,0,1,April
M.cavernosa,Manipulated,3-28-b,28,NA,0,1,0.02264765,0,1,April
M.cavernosa,Manipulated,3-39-a,39,0.019601549,0,0.24430684,0.006484626,0,0.26,April
M.cavernosa,Manipulated,3-39-b,39,0.009440713,0,0.251152761,0.008009168,0,0.26,April
M.cavernosa,Manipulated,3-67-b,67,0.013726537,0,0.96319597,0.024367531,0,0.96,April
M.cavernosa,Manipulated,3-68-a,68,0.001837056,0,NA,0,0,NA,April
M.cavernosa,Manipulated,3-71-a,71,0.005239379,0,0.963489697,0.004534515,0,0.96,April
M.cavernosa,Manipulated,3-71-b,71,0.001753085,0,0.980611304,0.009713803,0,0.98,April
M.cavernosa,Manipulated,3-72-a,72,0.055576218,0,0.994070908,0.247000266,0,0.98,April
M.cavernosa,Manipulated,3-72-b,72,0.025209503,0,0.99899969,0.503634506,0,0.98,April
M.cavernosa,Manipulated,3-87-a,87,0.001012482,0,0.936332573,0.002789867,0,0.92,April
M.cavernosa,Control,3-2-a,2,0.003866145,0,0,0.013406825,0,0,April
M.cavernosa,Control,3-27-a,27,0.005656446,0,0,0.031568105,0,0,April
M.cavernosa,Control,3-67-a,67,0.00370994,0,0,0.003450716,0,0,April
M.cavernosa,Control,3-68-b,68,0.002712073,0,0,0.01709966,0,0,April
M.cavernosa,Control,3-87-b,87,0.000422463,0,0,0.004984317,0,0,April
