Species,Treatment,Core,Colony,Timepoint,Sym.Host.old,Sym.Host,logSH,Y2,PropD.old,PropD,Batch,DHW,Recov.Days,Date,InitialDom,PropDAv,Shprop
O.faveolata,Bleached,1-13-c,13,Pre-outplant,0.828951783,0.015510189,-1.809382905,0.353,1,1,2,NaN,78,05/03/2020,B,0.758547582,0.376166146
O.faveolata,Bleached,1-13-c,13,Recovery,1.322584678,0.024746359,-1.606488688,0.269,1,1,2,NaN,31,19/01/2020,B,0.753003749,0.600169508
O.faveolata,Bleached,1-13-c,13,Post-bleach,,0.003931676,,,,1,2,,0,,B,0.303637583,0.095354313
O.faveolata,Bleached,1-21-a,21,Pre-outplant,0.968045715,0.020603799,-1.686052706,0.41,0.99668741,0.876184104,1,NaN,66,14/08/2019,B,0.758547582,0.104116326
O.faveolata,Bleached,1-21-a,21,Recovery,3.18E-04,5.95E-06,-5.225621811,0.509,1,1,1,NaN,31,10/07/2019,B,0.753003749,3.01E-05
O.faveolata,Bleached,1-21-a,21,Post-bleach,,0.001337454,,,,0.191332734,1,,0,,B,0.303637583,0.006758501
O.faveolata,Bleached,1-21-b,21,Pre-outplant,0.640305977,0.0140357,-1.852765935,0.362,0.995868191,0.850047466,1,NaN,66,14/08/2019,B,0.758547582,0.049749959
O.faveolata,Bleached,1-21-b,21,Recovery,0.00148931,2.79E-05,-4.55492698,0.49,1,1,1,NaN,31,10/07/2019,B,0.753003749,9.89E-05
O.faveolata,Bleached,1-21-b,21,Post-bleach,,0.001599506,,,,0.185503457,1,,0,,B,0.303637583,0.005669497
O.faveolata,Bleached,1-34-a,34,Pre-outplant,0.571554964,0.017141774,-1.765944237,0.426,0.985478257,0.614804602,1,NaN,62,14/08/2019,B,0.758547582,0.211076467
O.faveolata,Bleached,1-34-a,34,Recovery,4.18E-04,7.81E-06,-5.107166507,0.526,1,1,1,NaN,31,14/07/2019,B,0.753003749,9.62E-05
O.faveolata,Bleached,1-34-a,34,Post-bleach,,0.000657064,,,,0,1,,0,,B,0.303637583,0.008090805
O.faveolata,Bleached,1-34-b,34,Pre-outplant,0.216763269,0.080682194,-1.093222298,0.49,0.544939465,0.027393282,1,NaN,66,14/08/2019,B,0.758547582,1.461116815
O.faveolata,Bleached,1-34-b,34,Recovery,0.008615233,0.002288123,-2.640520723,0.472,0.68219427,0.048059987,1,NaN,31,10/07/2019,B,0.753003749,0.041436838
O.faveolata,Bleached,1-34-b,34,Post-bleach,,0.004724321,,,,0,1,,0,,B,0.303637583,0.085555245
O.faveolata,Bleached,1-36-b,36,Pre-outplant,0.064137974,0.051024098,-1.292224661,0.418,0,0,1,NaN,66,14/08/2019,B,0.758547582,1.417648608
O.faveolata,Bleached,1-36-b,36,Recovery,0.006753367,0.00537255,-2.269819572,0.51,0,0,1,NaN,31,10/07/2019,B,0.753003749,0.14927041
O.faveolata,Bleached,1-36-b,36,Post-bleach,,0.00432472,,,,0,1,,0,,B,0.303637583,0.120157603
O.faveolata,Bleached,1-36-c,36,Recovery,0.001811449,3.39E-05,-4.469886007,0.386,1,1,2,NaN,31,09/01/2020,B,0.753003749,0.000731083
O.faveolata,Bleached,1-36-c,36,Post-bleach,,0.000276741,,,,0,2,,0,,B,0.303637583,0.005968158
O.faveolata,Bleached,1-4-a,4,Pre-outplant,0.328589912,0.006148116,-2.211257949,0.319,1,1,1,NaN,52,14/08/2019,B,0.758547582,0.234684116
O.faveolata,Bleached,1-4-a,4,Recovery,0.353886858,0.006621437,-2.17904774,0.36,1,1,1,NaN,31,24/07/2019,B,0.753003749,0.252751589
O.faveolata,Bleached,1-4-a,4,Post-bleach,,0.000353842,,,,0.092523851,1,,0,,B,0.303637583,0.013506755
O.faveolata,Bleached,1-4-b,4,Pre-outplant,0.251627254,0.004708098,-2.327154498,0.339,1,1,1,NaN,50,14/08/2019,B,0.758547582,0.14538558
O.faveolata,Bleached,1-4-b,4,Recovery,0.187421724,0.003506774,-2.455092246,0.361,1,1,1,NaN,31,26/07/2019,B,0.753003749,0.108288819
O.faveolata,Bleached,1-4-b,4,Post-bleach,,0.000131319,,,,1,1,,0,,B,0.303637583,0.004055117
O.faveolata,Bleached,1-4-c,4,Pre-outplant,0.351077171,0.006568866,-2.182509585,0.333,1,1,2,NaN,81,05/03/2020,B,0.758547582,0.563714851
O.faveolata,Bleached,1-4-c,4,Recovery,0.076169651,0.00142518,-2.84613021,0.265,1,1,2,NaN,31,16/01/2020,B,0.753003749,0.122303474
O.faveolata,Bleached,1-4-c,4,Post-bleach,,0.000610297,,,,0.085203702,2,,0,,B,0.303637583,0.052373345
O.faveolata,Bleached,1-62-b,62,Pre-outplant,0.301840875,0.005647625,-2.248134124,0.404,1,1,1,NaN,54,14/08/2019,B,0.758547582,0.189403829
O.faveolata,Bleached,1-62-b,62,Recovery,7.70E-05,1.44E-06,-5.841679697,0.335,1,1,1,NaN,31,22/07/2019,B,0.753003749,4.83E-05
O.faveolata,Bleached,1-62-b,62,Post-bleach,,0.000366175,,,,0,1,,0,,B,0.303637583,0.012280374
O.faveolata,Bleached,1-62-c,62,Pre-outplant,0.257670529,0.017932755,-1.746352982,0.392,0.934496166,0.2512367,2,NaN,85,05/03/2020,B,0.758547582,0.840266222
O.faveolata,Bleached,1-62-c,62,Recovery,5.75E-04,0.000457583,-3.339529661,0.292,0,0,2,NaN,31,12/01/2020,B,0.753003749,0.02144074
O.faveolata,Bleached,1-62-c,62,Post-bleach,,0.000503166,,,,0,2,,0,,B,0.303637583,0.0235766
O.faveolata,Bleached,1-62-d,62,Recovery,4.38E-04,0.000348108,-3.458285995,0.421,0,0,2,NaN,31,12/01/2020,B,0.753003749,0.004744593
O.faveolata,Bleached,1-62-d,62,Post-bleach,,0.000799742,,,,0,2,,0,,B,0.303637583,0.01090021
O.faveolata,Bleached,1-64-a,64,Pre-outplant,1.03839842,0.019429062,-1.711548156,0.349,1,1,1,NaN,44,14/08/2019,D,1,0.714145535
O.faveolata,Bleached,1-64-a,64,Recovery,1.150977869,0.021535492,-1.666845202,0.389,1,1,1,NaN,31,01/08/2019,D,1,0.791570662
O.faveolata,Bleached,1-64-a,64,Post-bleach,,0.001556326,,,,1,1,,0,,D,1,0.057205194
O.faveolata,Bleached,1-64-c,64,Pre-outplant,1.316639234,0.024635116,-1.608445383,0.278,1,1,2,NaN,78,05/03/2020,D,1,1.210062703
O.faveolata,Bleached,1-64-c,64,Recovery,3.526800804,0.065988576,-1.180531244,0.264,1,1,2,NaN,31,19/01/2020,D,1,3.241320831
O.faveolata,Bleached,1-64-c,64,Post-bleach,,0.005104057,,,,1,2,,0,,D,1,0.250708339
O.faveolata,Bleached,1-64-d,64,Pre-outplant,0,0,-6.5,0.31,NaN,NA,2,NaN,78,05/03/2020,NA,NA,0
O.faveolata,Bleached,1-64-d,64,Recovery,0.808522649,0.015127948,-1.820219985,0.311,1,1,2,NaN,31,19/01/2020,NA,NA,0.817000054
O.faveolata,Bleached,1-64-d,64,Post-bleach,,0.003199052,,,,1,2,,0,,NA,NA,0.172768022
O.faveolata,Bleached,1-65-a,65,Pre-outplant,0.204101699,0.003818866,-2.418065556,0.378,1,1,1,NaN,54,14/08/2019,D,1,0.260797134
O.faveolata,Bleached,1-65-a,65,Recovery,0.372125225,0.006962688,-2.157223065,0.389,1,1,1,NaN,31,22/07/2019,D,1,0.475494316
O.faveolata,Bleached,1-65-a,65,Post-bleach,,0.000128661,,,,1,1,,0,,D,1,0.008786488
O.faveolata,Bleached,1-65-c,65,Pre-outplant,1.429350858,0.026744019,-1.572773328,0.294,1,1,2,NaN,78,05/03/2020,D,1,3.081216448
O.faveolata,Bleached,1-65-c,65,Recovery,1.23444289,0.023097173,-1.636441172,0.238,1,1,2,NaN,31,19/01/2020,D,1,2.661058136
O.faveolata,Bleached,1-65-c,65,Post-bleach,,0.000238348,,,,1,2,,0,,D,1,0.027460412
O.faveolata,Bleached,1-65-d,65,Pre-outplant,0.531396302,0.009942746,-2.002493647,0.377,1,1,2,NaN,78,05/03/2020,D,1,0.814225288
O.faveolata,Bleached,1-65-d,65,Recovery,0.378498659,0.007081939,-2.14984783,0.284,1,1,2,NaN,31,19/01/2020,D,1,0.579949827
O.faveolata,Bleached,1-65-d,65,Post-bleach,,0.000921556,,,,1,2,,0,,D,1,0.075467502
O.faveolata,Bleached,1-66-a,66,Pre-outplant,0.377450691,0.007062331,-2.15105195,0.355,1,1,1,NaN,50,14/08/2019,D,1,2.258711399
O.faveolata,Bleached,1-66-a,66,Recovery,1.564129641,0.029265812,-1.533639429,0.371,1,1,1,NaN,31,26/07/2019,D,1,9.359944069
O.faveolata,Bleached,1-66-a,66,Post-bleach,,0.000343205,,,,1,1,,0,,D,1,0.109765607
O.faveolata,Bleached,1-66-b,66,Pre-outplant,0.572108266,0.010704492,-1.970433953,0.393,1,1,1,NaN,44,14/08/2019,D,1,0.820172936
O.faveolata,Bleached,1-66-b,66,Recovery,0.726160365,0.0135869,-1.866879634,0.36,1,1,1,NaN,31,01/08/2019,D,1,1.041021626
O.faveolata,Bleached,1-66-b,66,Post-bleach,,0.001195525,,,,1,1,,0,,D,1,0.09160054
O.faveolata,Bleached,1-66-c,66,Pre-outplant,0.562864706,0.010531539,-1.977508158,0.397,1,1,2,NaN,78,05/03/2020,D,1,0.525768633
O.faveolata,Bleached,1-66-c,66,Recovery,0.437501568,0.008185919,-2.086932561,0.349,1,1,2,NaN,31,19/01/2020,D,1,0.408667664
O.faveolata,Bleached,1-66-c,66,Post-bleach,,0.000874266,,,,1,2,,0,,D,1,0.043646198
O.faveolata,Bleached,1-81-a,81,Pre-outplant,0.743219414,0.013906085,-1.856795129,0.344,1,1,1,NaN,52,14/08/2019,B,0.758547582,0.192615268
O.faveolata,Bleached,1-81-a,81,Recovery,1.36638126,0.02556582,-1.592340278,0.381,1,1,1,NaN,31,24/07/2019,B,0.753003749,0.354116005
O.faveolata,Bleached,1-81-a,81,Post-bleach,,0,,,,NA,1,,0,,B,0.303637583,0
O.faveolata,Bleached,1-81-b,81,Pre-outplant,0.528091598,0.009880913,-2.005202917,0.383,1,1,1,NaN,54,14/08/2019,B,0.758547582,0.057545243
