Species,Core,Colony,Timepoint,PropD,PropD0
O.faveolata,1-13-c,13,1,1,0.160033067
O.faveolata,1-13-c,13,2,1,0.160033067
O.faveolata,1-13-c,13,3,1,0.160033067
O.faveolata,1-21-a,21,1,0.191332734,0.006538041
O.faveolata,1-21-a,21,2,1,0.006538041
O.faveolata,1-21-a,21,3,0.876184104,0.006538041
O.faveolata,1-21-b,21,1,0.185503457,0.000404087
O.faveolata,1-21-b,21,2,1,0.000404087
O.faveolata,1-21-b,21,3,0.850047466,0.000404087
O.faveolata,1-34-a,34,1,0,0
O.faveolata,1-34-a,34,2,1,0
O.faveolata,1-34-a,34,3,0.614804602,0
O.faveolata,1-34-b,34,1,0,0
O.faveolata,1-34-b,34,2,0.048059987,0
O.faveolata,1-34-b,34,3,0.027393282,0
O.faveolata,1-36-b,36,1,0,0
O.faveolata,1-36-b,36,2,0,0
O.faveolata,1-36-b,36,3,0,0
O.faveolata,1-36-c,36,1,0,0
O.faveolata,1-36-c,36,2,1,0
O.faveolata,1-4-a,4,1,0.092523851,0.001555174
O.faveolata,1-4-a,4,2,1,0.001555174
O.faveolata,1-4-a,4,3,1,0.001555174
O.faveolata,1-4-b,4,1,1,0.033783348
O.faveolata,1-4-b,4,2,1,0.033783348
O.faveolata,1-4-b,4,3,1,0.033783348
O.faveolata,1-4-c,4,1,0.085203702,0
O.faveolata,1-4-c,4,2,1,0
O.faveolata,1-4-c,4,3,1,0
O.faveolata,1-62-b,62,1,0,0
O.faveolata,1-62-b,62,2,1,0
O.faveolata,1-62-b,62,3,1,0
O.faveolata,1-62-c,62,1,0,0
O.faveolata,1-62-c,62,2,0,0
O.faveolata,1-62-c,62,3,0.2512367,0
O.faveolata,1-62-d,62,1,0,0
O.faveolata,1-62-d,62,2,0,0
O.faveolata,1-64-a,64,1,1,0.843985446
O.faveolata,1-64-a,64,2,1,0.843985446
O.faveolata,1-64-a,64,3,1,0.843985446
O.faveolata,1-64-c,64,1,1,0.9713626
O.faveolata,1-64-c,64,2,1,0.9713626
O.faveolata,1-64-c,64,3,1,0.9713626
O.faveolata,1-64-d,64,1,1,0.485454513
O.faveolata,1-64-d,64,2,1,0.485454513
O.faveolata,1-64-d,64,3,NA,0.485454513
O.faveolata,1-65-a,65,1,1,1
O.faveolata,1-65-a,65,2,1,1
O.faveolata,1-65-a,65,3,1,1
O.faveolata,1-65-c,65,1,1,1
O.faveolata,1-65-c,65,2,1,1
O.faveolata,1-65-c,65,3,1,1
O.faveolata,1-65-d,65,1,1,1
O.faveolata,1-65-d,65,2,1,1
O.faveolata,1-65-d,65,3,1,1
O.faveolata,1-66-a,66,1,1,1
O.faveolata,1-66-a,66,2,1,1
O.faveolata,1-66-a,66,3,1,1
O.faveolata,1-66-b,66,1,1,1
O.faveolata,1-66-b,66,2,1,1
O.faveolata,1-66-b,66,3,1,1
O.faveolata,1-66-c,66,1,1,1
O.faveolata,1-66-c,66,2,1,1
O.faveolata,1-66-c,66,3,1,1
O.faveolata,1-81-a,81,1,NA,0.014617029
O.faveolata,1-81-a,81,2,1,0.014617029
