Species,Treatment,Core,Colony,Batch,PropD2,PropD1,PropD4,PropD3,sh1,sh2,sh3,sh4,sh1prop,sh2prop,sh3prop,sh4prop
S.siderea,Manipulated,2-48-a,48,1,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
S.siderea,Manipulated,2-48-b,48,1,NA,NA,0,NA,0,0,0,2.19E-06,NA,NA,NA,NA
S.siderea,Manipulated,2-48-c,48,2,NA,NA,0.996044208,NA,0,0,0,0.000226465,NA,NA,NA,NA
S.siderea,Manipulated,2-48-d,48,2,NA,NA,0.998768934,NA,0,0,0,0.002628831,NA,NA,NA,NA
S.siderea,Manipulated,2-26-d,26,2,0,0,NA,NA,4.47E-06,4.75E-07,0,0,1,1.06E-01,0.00E+00,0.00E+00
S.siderea,Control,2-26-c,26,2,0,0,0.023908829,0.011954414,3.80E-05,0.000427959,NA,0.000147211,1,1.13E+01,NA,3.87E+00
S.siderea,Manipulated,2-26-a,26,1,NA,0,1,1,0.000105957,0,0.000275408,0.000440937,1,0.00E+00,2.60E+00,4.16E+00
S.siderea,Manipulated,2-22-c,22,2,NA,0,0.089262986,0,0.00010886,0,3.93E-05,0.006464051,1,0.00E+00,3.61E-01,5.94E+01
S.siderea,Manipulated,2-22-a,22,1,0,0,0,NA,0.000109352,1.05E-05,0,0.000953328,1,9.60E-02,0.00E+00,8.72E+00
S.siderea,Manipulated,2-26-b,26,1,NA,0,0,NA,0.000173926,0,0,2.84E-06,1,0.00E+00,0.00E+00,1.63E-02
S.siderea,Manipulated,2-23-d,23,2,1,0.279185985,0.996371332,1,0.000266618,2.47E-05,0.002792669,0.012268517,1,9.26E-02,1.05E+01,4.60E+01
S.siderea,Manipulated,2-3-d,3,2,0.995620239,0.631900151,0.938954542,0.715299083,0.000318944,0.001864743,0.001360395,0.003422421,1,5.85E+00,4.27E+00,1.07E+01
S.siderea,Control,2-18-c,18,2,0.903419938,0.992728986,1,0.951709969,0.000387743,0.007359847,NA,0.000784119,1,1.90E+01,NA,2.02E+00
S.siderea,Manipulated,2-3-a,3,1,0.630528654,0.296083451,0.008270089,1,0.000420031,3.02E-05,2.40E-06,0.027237563,1,7.19E-02,5.71E-03,6.48E+01
M.cavernosa,Manipulated,3-87-b,87,1,0,0,0.936332573,0.256799866,0.000422463,0.008690238,9.76E-05,0.004984317,1,2.06E+01,2.31E-01,1.18E+01
S.siderea,Control,2-22-d,22,2,0.028524568,0,0,0.014262284,0.000481646,0.000808206,NA,0.001031715,1,1.68E+00,NA,2.14E+00
S.siderea,Manipulated,2-19-b,19,1,1,0.932498043,1,NA,0.00048733,6.26E-05,0,0.000127066,1,1.28E-01,0.00E+00,2.61E-01
S.siderea,Manipulated,2-3-b,3,1,0,0.204653459,0.869339722,1,0.000522278,3.95E-05,1.44E-06,0.00058263,1,7.56E-02,2.76E-03,1.12E+00
S.siderea,Manipulated,2-23-c,23,2,0.741940461,0.592263063,0.991072555,1,0.000602417,4.77E-05,0.000581618,0.002247906,1,7.92E-02,9.65E-01,3.73E+00
S.siderea,Manipulated,2-19-d,19,2,1,1,1,1,0.000628352,0.000839816,0.00398656,0.002353233,1,1.34E+00,6.34E+00,3.75E+00
S.siderea,Manipulated,2-16-c,16,2,1,0.862705922,1,1,0.000684776,1.96E-05,0.000446782,0.001345968,1,2.86E-02,6.52E-01,1.97E+00
S.siderea,Control,2-3-c,3,2,0.476035389,0.660181677,0.903992961,0.690014175,0.000714106,0.001390885,NA,0.003630733,1,1.95E+00,NA,5.08E+00
S.siderea,Control,2-18-b,18,1,1,1,1,1,0.000757146,0.002807224,NA,0.000475542,1,3.71E+00,NA,6.28E-01
S.siderea,Manipulated,2-35-b,35,1,1,1,1,NA,0.000757146,8.55E-05,0,0.002093105,1,1.13E-01,0.00E+00,2.76E+00
S.siderea,Manipulated,2-18-d,18,2,NA,1,1,1,0.000772788,0,0.000103568,0.001666873,1,0.00E+00,1.34E-01,2.16E+00
S.siderea,Manipulated,2-19-c,19,2,1,0.971479252,1,1,0.000924913,0.00104257,0.004111442,0.003574259,1,1.13E+00,4.45E+00,3.86E+00
S.siderea,Manipulated,2-22-b,22,1,NA,0,0,0,0.0009474,0,9.53E-05,0.000859188,1,0.00E+00,1.01E-01,9.07E-01
S.siderea,Manipulated,2-18-a,18,1,NA,0.96594721,1,1,0.000965353,0,0.000286706,0.000586273,1,0.00E+00,2.97E-01,6.07E-01
M.cavernosa,Control,3-87-a,87,1,0,0,0,0,0.001012482,0.017428733,NA,0.002789867,1,1.72E+01,NA,2.76E+00
S.siderea,Manipulated,2-16-d,16,2,NA,0.775884498,1,1,0.001107825,0,0.001221915,0.002302409,1,0.00E+00,1.10E+00,2.08E+00
S.siderea,Control,2-19-a,19,1,0.512837635,0.779658304,0.475084589,0.493961112,0.001298396,0.013704429,NA,0.001176815,1,1.06E+01,NA,9.06E-01
M.cavernosa,Manipulated,3-100-b,100,1,0,0,0.988114418,0,0.001354627,0.002452742,7.90E-05,0.024327893,1,1.81E+00,5.83E-02,1.80E+01
S.siderea,Control,2-16-b,16,1,0.114552309,0.240387655,0,0.057276154,0.001600707,0.008652194,NA,0.000760513,1,5.41E+00,NA,4.75E-01
S.siderea,Manipulated,2-41-d,41,2,1,0.88518018,1,1,0.001609487,5.49E-05,0.000759249,0.008185919,1,3.41E-02,4.72E-01,5.09E+00
M.cavernosa,Manipulated,3-71-b,71,1,0,0,0.980611304,0,0.001753085,0.001326749,9.73E-05,0.009713803,1,7.57E-01,5.55E-02,5.54E+00
M.cavernosa,Manipulated,3-68-a,68,1,0,0,NA,NA,0.001837056,0.000687245,0,0,1,3.74E-01,0.00E+00,0.00E+00
S.siderea,Control,2-35-d,35,2,1,1,1,1,0.001866253,0.002910253,NA,0.00315501,1,1.56E+00,NA,1.69E+00
S.siderea,Control,2-41-b,41,1,0.997806072,0.983968157,1,0.998903036,0.002226011,0.004083519,NA,0.00206572,1,1.83E+00,NA,9.28E-01
S.siderea,Manipulated,2-23-a,23,1,NA,0,1,1,0.002655613,0,0.000722037,0.000153749,1,0.00E+00,2.72E-01,5.79E-02
M.cavernosa,Control,3-68-b,68,1,0,0,0,0,0.002712073,0.048449026,NA,0.01709966,1,1.79E+01,NA,6.31E+00
S.siderea,Manipulated,2-41-a,41,1,0.990259048,1,1,1,0.002831653,0.000255566,0.00095936,0.002848385,1,9.03E-02,3.39E-01,1.01E+00
S.siderea,Manipulated,2-35-a,35,1,NA,1,1,1,0.002847398,0,0.000260191,0.000988042,1,0.00E+00,9.14E-02,3.47E-01
S.siderea,Manipulated,2-16-a,16,1,1,0.035499757,1,1,0.003034989,6.82E-05,0.002129691,0.000259831,1,2.25E-02,7.02E-01,8.56E-02
O.faveolata,Manipulated,1-66-a,66,1,1,1,1,1,0.003126708,0.000343205,0.029265812,0.007062331,1,1.10E-01,9.36E+00,2.26E+00
M.cavernosa,Manipulated,3-100-a,100,1,0,0,0.996842401,0.938906619,0.003244274,0.00174702,0.000300666,0.013523082,1,5.38E-01,9.27E-02,4.17E+00
M.cavernosa,Control,3-67-a,67,1,0,0,0,0,0.00370994,0.033310284,NA,0.003450716,1,8.98E+00,NA,9.30E-01
M.cavernosa,Manipulated,3-67-d,67,2,0,0,0.990972618,NA,0.003738335,1.47E-05,0,0.009499637,1,3.93E-03,0.00E+00,2.54E+00
M.cavernosa,Manipulated,3-27-b,27,1,0,0,0.998488262,0.935563841,0.003795778,0.002275835,0.002189166,0.02015369,1,6.00E-01,5.77E-01,5.31E+00
