Species,Treatment,Core,Colony,Timepoint,Sym.Host,logSH,Y2,PropD,Batch,DHW,InitialDom,PropDAv,Shprop
S.siderea,Bleached,2-16-a,16,Post-bleach,6.82E-05,-4.166447771,0.222,1,1,5.36,C,0.25,2.25E-02
S.siderea,Bleached,2-16-a,16,Pre-bleach,0.003034989,-2.51784284,0.518,0.035499757,1,0,C,0.026683691,1
S.siderea,Bleached,2-16-c,16,Post-bleach,1.96E-05,-4.706646098,3.58E-01,1,2,9.36,D,0.998917672,2.86E-02
S.siderea,Bleached,2-16-c,16,Pre-bleach,0.000684776,-3.164451599,0.532,0.862705922,2,0,D,0.952448892,1
S.siderea,Bleached,2-16-d,16,Post-bleach,0,-6.5,3.08E-01,NA,2,9.36,D,0.998917672,0.00E+00
S.siderea,Bleached,2-16-d,16,Pre-bleach,0.001107825,-2.955528666,0.529,0.775884498,2,0,D,0.952448892,1
S.siderea,Bleached,2-18-a,18,Post-bleach,0,-6.5,0.309,NA,1,13.64,D,0.998917672,0.00E+00
S.siderea,Bleached,2-18-a,18,Pre-bleach,0.000965353,-3.01531396,0.518,0.96594721,1,0,D,0.952448892,1
S.siderea,Bleached,2-18-d,18,Post-bleach,0,-6.5,0.327,NA,2,6.43,D,0.998917672,0.00E+00
S.siderea,Bleached,2-18-d,18,Pre-bleach,0.000772788,-3.111939696,0.56,1,2,0,D,0.952448892,1
S.siderea,Bleached,2-19-b,19,Post-bleach,6.26E-05,-4.203323945,0.208,1,1,13.64,D,0.998917672,1.28E-01
S.siderea,Bleached,2-19-b,19,Pre-bleach,0.00048733,-3.312176602,0.511,0.932498043,1,0,D,0.952448892,1
S.siderea,Bleached,2-19-c,19,Post-bleach,0.00104257,-2.981894738,1.27E-01,1,2,13.29,D,0.998917672,1.13E+00
S.siderea,Bleached,2-19-c,19,Pre-bleach,0.000924913,-3.033899202,0.512,0.971479252,2,0,D,0.952448892,1
S.siderea,Bleached,2-19-d,19,Post-bleach,0.000839816,-3.075816097,9.00E-02,1,2,13.29,D,0.998917672,1.34E+00
S.siderea,Bleached,2-19-d,19,Pre-bleach,0.000628352,-3.20179715,0.509,1,2,0,D,0.952448892,1
S.siderea,Bleached,2-22-a,22,Post-bleach,1.05E-05,-4.978656638,0.305,0,1,7.5,C,0.25,9.60E-02
S.siderea,Bleached,2-22-a,22,Pre-bleach,0.000109352,-3.961175253,0.543,0,1,0,C,0.026683691,1
S.siderea,Bleached,2-22-b,22,Post-bleach,0,-6.5,0.307,NA,1,7.5,C,0.25,0.00E+00
S.siderea,Bleached,2-22-b,22,Pre-bleach,0.0009474,-3.023466817,0.523,0,1,0,C,0.026683691,1
S.siderea,Bleached,2-22-c,22,Post-bleach,0,-6.5,0.412,NA,2,6.43,C,0.25,0.00E+00
S.siderea,Bleached,2-22-c,22,Pre-bleach,0.00010886,-3.963131948,0.543,0,2,0,C,0.026683691,1
S.siderea,Bleached,2-23-a,23,Post-bleach,0,-6.5,0.231,NA,1,5.36,C,0.25,0.00E+00
S.siderea,Bleached,2-23-a,23,Pre-bleach,0.002655613,-2.575835213,0.527,0,1,0,C,0.026683691,1
S.siderea,Bleached,2-23-c,23,Post-bleach,4.77E-05,-4.321892232,2.87E-01,0.741940461,2,9.36,NA,NA,7.92E-02
S.siderea,Bleached,2-23-c,23,Pre-bleach,0.000602417,-3.220102789,0.505,0.592263063,2,0,NA,NA,1
S.siderea,Bleached,2-23-d,23,Post-bleach,2.47E-05,-4.607456715,0.347,1,2,7.86,NA,NA,9.26E-02
S.siderea,Bleached,2-23-d,23,Pre-bleach,0.000266618,-3.574110574,0.516,0.279185985,2,0,NA,NA,1
S.siderea,Bleached,2-26-a,26,Post-bleach,0,-6.5,0.212,NA,1,11.64,C,0.25,0.00E+00
S.siderea,Bleached,2-26-a,26,Pre-bleach,0.000105957,-3.974872118,0.529,0,1,0,C,0.026683691,1
S.siderea,Bleached,2-26-b,26,Post-bleach,0,-6.5,0.242,NA,1,10.64,C,0.25,0.00E+00
S.siderea,Bleached,2-26-b,26,Pre-bleach,0.000173926,-3.759635671,0.5,0,1,0,C,0.026683691,1
S.siderea,Bleached,2-26-d,26,Post-bleach,4.75E-07,-6.323056599,2.95E-01,0,2,12,C,0.25,1.06E-01
S.siderea,Bleached,2-26-d,26,Pre-bleach,4.47E-06,-5.349224563,5.86E-01,0,2,0,C,0.026683691,1
S.siderea,Bleached,2-3-a,3,Post-bleach,3.02E-05,-4.520198306,0.385,0.630528654,1,7.5,NA,NA,7.19E-02
S.siderea,Bleached,2-3-a,3,Pre-bleach,0.000420031,-3.376718384,0.543,0.296083451,1,0,NA,NA,1
S.siderea,Bleached,2-3-b,3,Post-bleach,3.95E-05,-4.403087287,0.39,0,1,7.5,C,0.25,7.56E-02
S.siderea,Bleached,2-3-b,3,Pre-bleach,0.000522278,-3.282098393,0.553,0.204653459,1,0,C,0.026683691,1
S.siderea,Bleached,2-3-d,3,Post-bleach,0.001864743,-2.729380983,0.297,0.995620239,2,7.86,NA,NA,5.85E+00
S.siderea,Bleached,2-3-d,3,Pre-bleach,0.000318944,-3.496285317,0.552,0.631900151,2,0,NA,NA,1
S.siderea,Bleached,2-35-a,35,Post-bleach,0,-6.5,0.208,NA,1,13.64,D,0.998917672,0.00E+00
S.siderea,Bleached,2-35-a,35,Pre-bleach,0.002847398,-2.545551759,0.518,1,1,0,D,0.952448892,1
S.siderea,Bleached,2-35-b,35,Post-bleach,8.55E-05,-4.068161477,0.213,1,1,13.64,D,0.998917672,1.13E-01
S.siderea,Bleached,2-35-b,35,Pre-bleach,0.000757146,-3.120820081,0.509,1,1,0,D,0.952448892,1
S.siderea,Bleached,2-35-c,35,Post-bleach,7.87E-05,-4.103833532,1.19E-01,1,2,13.29,D,0.998917672,1.18E-02
S.siderea,Bleached,2-35-c,35,Pre-bleach,0.006646728,-2.177392075,0.523,1,2,0,D,0.952448892,1
S.siderea,Bleached,2-41-a,41,Post-bleach,0.000255566,-3.592497324,0.363,0.990259048,1,10.07,D,0.998917672,9.03E-02
S.siderea,Bleached,2-41-a,41,Pre-bleach,0.002831653,-2.547959999,0.47,1,1,0,D,0.952448892,1
S.siderea,Bleached,2-41-c,41,Post-bleach,0.000216681,-3.664179223,9.30E-02,1,2,13.29,D,0.998917672,4.34E-02
S.siderea,Bleached,2-41-c,41,Pre-bleach,0.004987636,-2.302105212,0.509,0.988140487,2,0,D,0.952448892,1
S.siderea,Bleached,2-41-d,41,Post-bleach,5.49E-05,-4.260519645,9.40E-02,1,2,13.29,D,0.998917672,3.41E-02
S.siderea,Bleached,2-41-d,41,Pre-bleach,0.001609487,-2.793312406,0.539,0.88518018,2,0,D,0.952448892,1
S.siderea,Bleached,2-48-a,48,Post-bleach,0,-6.5,0.202,NA,1,10.64,NA,NA,NA
S.siderea,Bleached,2-48-a,48,Pre-bleach,0,-6.5,0.476,NA,1,0,NA,NA,1
S.siderea,Bleached,2-48-b,48,Post-bleach,0,-6.5,0.224,NA,1,10.64,NA,NA,NA
S.siderea,Bleached,2-48-b,48,Pre-bleach,0,-6.5,0.495,NA,1,0,NA,NA,1
S.siderea,Bleached,2-48-c,48,Post-bleach,0,-6.5,3.36E-01,NA,2,12,NA,NA,NA
S.siderea,Bleached,2-48-c,48,Pre-bleach,0,-6.5,0.532,NA,2,0,NA,NA,1
S.siderea,Bleached,2-48-d,48,Post-bleach,0,-6.5,2.47E-01,NA,2,12,NA,NA,NA
S.siderea,Bleached,2-48-d,48,Pre-bleach,0,-6.5,0.546,NA,2,0,NA,NA,1
