Species,Treatment,Core,Colony,pre_sh,pre_propD,post_propD,post_sh,preDcat,postDcat,Batch
S.siderea,Manipulated,2-16-a,16,0.003034989,0.035499757,1,0.000259831,0.02,1,April
S.siderea,Control,2-16-b,16,0.001600707,0.240387655,0,0.000760513,0.24,0,April
S.siderea,Manipulated,2-18-a,18,0.000965353,0.96594721,1,0.000586273,0.96,1,April
S.siderea,Control,2-18-b,18,0.000757146,1,1,0.000475542,1,1,April
S.siderea,Control,2-19-a,19,0.001298396,0.779658304,0.475084589,0.001176815,0.76,0.46,April
S.siderea,Manipulated,2-19-b,19,0.00048733,0.932498043,1,0.000127066,0.92,1,April
S.siderea,Manipulated,2-22-a,22,0.000109352,0,0,0.000953328,0,0,April
S.siderea,Manipulated,2-22-b,22,0.0009474,0,0,0.000859188,0,0,April
S.siderea,Manipulated,2-23-a,23,0.002655613,0,1,0.000153749,0,1,April
S.siderea,Control,2-23-b,23,0.008978939,0,0,0.003101669,0,0,April
S.siderea,Manipulated,2-26-a,26,0.000105957,0,1,0.000440937,0,1,April
S.siderea,Manipulated,2-26-b,26,0.000173926,0,0,2.84E-06,0,0,April
S.siderea,Manipulated,2-3-a,3,0.000420031,0.296083451,0.008270089,0.027237563,0.28,0,April
S.siderea,Manipulated,2-3-b,3,0.000522278,0.204653459,0.869339722,0.00058263,0.2,0.86,April
S.siderea,Manipulated,2-35-a,35,0.002847398,1,1,0.000988042,1,1,April
S.siderea,Manipulated,2-35-b,35,0.000757146,1,1,0.002093105,1,1,April
S.siderea,Manipulated,2-41-a,41,0.002831653,1,1,0.002848385,1,1,April
S.siderea,Control,2-41-b,41,0.002226011,0.983968157,1,0.00206572,0.98,1,April
S.siderea,Manipulated,2-48-a,48,0,NA,NA,0,NA,NA,April
S.siderea,Manipulated,2-48-b,48,0,NA,0,2.19E-06,NA,0,April
